x,y
-1.00807,-0.211353
-1.0068,-0.217318
-1.00549,-0.223276
-1.00414,-0.229226
-1.00276,-0.235168
-1.00134,-0.241102
-0.999891,-0.247027
-0.998403,-0.252943
-0.996879,-0.25885
-0.995319,-0.264748
-0.993724,-0.270637
-0.992094,-0.276515
-0.990428,-0.282384
-0.988727,-0.288243
-0.986991,-0.294092
-0.985219,-0.29993
-0.983413,-0.305758
-0.981571,-0.311574
-0.979694,-0.31738
-0.977783,-0.323174
-0.975837,-0.328956
-0.973855,-0.334727
-0.97184,-0.340486
-0.969789,-0.346233
-0.967704,-0.351968
-0.965584,-0.35769
-0.96343,-0.363399
-0.961242,-0.369095
-0.95902,-0.374778
-0.956763,-0.380448
-0.954472,-0.386104
-0.952147,-0.391746
-0.949788,-0.397375
-0.947395,-0.402989
-0.944968,-0.408589
-0.942508,-0.414174
-0.940014,-0.419745
-0.937487,-0.4253
-0.934926,-0.430841
-0.932331,-0.436366
-0.929704,-0.441875
-0.927043,-0.447369
-0.924349,-0.452846
-0.921622,-0.458308
-0.918863,-0.463753
-0.91607,-0.469182
-0.913245,-0.474594
-0.910387,-0.479989
-0.907497,-0.485366
-0.904574,-0.490727
-0.901619,-0.49607
-0.898632,-0.501395
-0.895612,-0.506702
-0.892561,-0.511991
-0.889478,-0.517262
-0.886363,-0.522515
-0.883216,-0.527748
-0.880038,-0.532963
-0.876828,-0.538159
-0.873587,-0.543336
-0.870315,-0.548493
-0.867011,-0.55363
-0.863677,-0.558748
-0.860311,-0.563846
-0.856915,-0.568923
-0.853489,-0.573981
-0.850031,-0.579017
-0.846544,-0.584033
-0.843026,-0.589028
-0.839478,-0.594002
-0.835899,-0.598955
-0.832291,-0.603887
-0.828653,-0.608796
-0.824986,-0.613684
-0.821289,-0.61855
-0.817562,-0.623394
-0.813806,-0.628215
-0.810021,-0.633014
-0.806207,-0.637791
-0.802364,-0.642544
-0.798493,-0.647274
-0.794593,-0.651982
-0.790664,-0.656665
-0.786707,-0.661326
-0.782722,-0.665962
-0.778708,-0.670575
-0.774667,-0.675164
-0.770598,-0.679728
-0.766501,-0.684268
-0.762377,-0.688783
-0.758225,-0.693274
-0.754047,-0.69774
-0.749841,-0.702181
-0.745608,-0.706597
-0.741348,-0.710987
-0.737062,-0.715351
-0.732749,-0.71969
-0.728411,-0.724004
-0.724045,-0.728291
-0.719654,-0.732552
-0.715237,-0.736786
-0.710794,-0.740994
-0.706326,-0.745176
-0.701832,-0.749331
-0.697313,-0.753458
-0.692769,-0.757559
-0.6882,-0.761632
-0.683607,-0.765678
-0.678988,-0.769697
-0.674346,-0.773688
-0.669678,-0.77765
-0.664987,-0.781585
-0.660272,-0.785492
-0.655533,-0.78937
-0.650771,-0.79322
-0.645985,-0.797042
-0.641175,-0.800834
-0.636343,-0.804598
-0.631488,-0.808333
-0.62661,-0.812039
-0.621709,-0.815715
-0.616786,-0.819362
