x_sol,y_sol,x_mer,y_mer,x_ven,y_ven,x_ter,y_ter,x_mar,y_mar
2.60786e-06,1.20446e-06,-0.452916,0.0809006,0.149022,0.724245,0.662141,0.75613,1.37051,0.668802
2.64006e-06,1.22821e-06,-0.454279,0.0725141,0.141978,0.725862,0.657471,0.760287,1.36828,0.673375
2.67235e-06,1.25222e-06,-0.455471,0.0641001,0.134921,0.727409,0.652776,0.764414,1.36604,0.677942
2.70472e-06,1.27649e-06,-0.45649,0.0556619,0.12785,0.728888,0.648056,0.768512,1.36379,0.6825
2.73716e-06,1.30103e-06,-0.457336,0.0472026,0.120768,0.730298,0.643311,0.772581,1.36152,0.687052
2.76969e-06,1.32583e-06,-0.458009,0.0387254,0.113674,0.731638,0.638542,0.77662,1.35923,0.691595
2.8023e-06,1.35089e-06,-0.458508,0.0302335,0.106569,0.732909,0.633748,0.780629,1.35693,0.696131
2.83497e-06,1.37622e-06,-0.458833,0.0217301,0.0994547,0.734111,0.62893,0.784609,1.35461,0.700659
2.86772e-06,1.40181e-06,-0.458984,0.0132185,0.0923306,0.735244,0.624087,0.788558,1.35228,0.70518
2.90054e-06,1.42767e-06,-0.45896,0.0047019,0.0851978,0.736307,0.619221,0.792478,1.34994,0.709693
2.93342e-06,1.45379e-06,-0.458761,-0.00381653,0.078057,0.737301,0.614331,0.796367,1.34758,0.714197
2.96637e-06,1.48017e-06,-0.458388,-0.0123335,0.0709088,0.738225,0.609418,0.800225,1.3452,0.718694
2.99938e-06,1.50681e-06,-0.457839,-0.0208458,0.063754,0.739079,0.604482,0.804053,1.34281,0.723183
3.03245e-06,1.53372e-06,-0.457115,-0.0293501,0.0565931,0.739864,0.599522,0.807851,1.3404,0.727664
3.06557e-06,1.5609e-06,-0.456216,-0.0378431,0.0494269,0.74058,0.594539,0.811617,1.33798,0.732137
3.09875e-06,1.58834e-06,-0.455142,-0.0463216,0.0422561,0.741225,0.589534,0.815352,1.33555,0.736602
3.13199e-06,1.61604e-06,-0.453893,-0.0547824,0.0350813,0.741802,0.584506,0.819057,1.3331,0.741059
3.16528e-06,1.644e-06,-0.45247,-0.063222,0.0279032,0.742308,0.579456,0.82273,1.33064,0.745508
3.19861e-06,1.67223e-06,-0.450871,-0.0716372,0.0207225,0.742745,0.574384,0.826371,1.32816,0.749948
3.23199e-06,1.70072e-06,-0.449099,-0.0800247,0.0135398,0.743113,0.56929,0.829981,1.32566,0.75438
3.26542e-06,1.72947e-06,-0.447152,-0.0883812,0.00635588,0.74341,0.564174,0.83356,1.32315,0.758804
3.29888e-06,1.75849e-06,-0.445031,-0.0967034,-0.000828628,0.743639,0.559036,0.837106,1.32063,0.763219
3.33239e-06,1.78777e-06,-0.442738,-0.104988,-0.00801306,0.743798,0.553878,0.840621,1.31809,0.767626
3.36593e-06,1.81731e-06,-0.440271,-0.113231,-0.0151967,0.743887,0.548698,0.844104,1.31554,0.772024
3.39951e-06,1.84711e-06,-0.437632,-0.121431,-0.022379,0.743907,0.543497,0.847554,1.31297,0.776414
3.43313e-06,1.87717e-06,-0.434821,-0.129582,-0.0295592,0.743858,0.538276,0.850972,1.31039,0.780795
3.46677e-06,1.9075e-06,-0.431839,-0.137683,-0.0367366,0.743739,0.533034,0.854358,1.3078,0.785168
3.50044e-06,1.93809e-06,-0.428687,-0.145729,-0.0439106,0.743551,0.527771,0.857711,1.30519,0.789532
3.53414e-06,1.96893e-06,-0.425365,-0.153717,-0.0510805,0.743294,0.522489,0.861031,1.30256,0.793887
3.56787e-06,2.00004e-06,-0.421874,-0.161645,-0.0582457,0.742968,0.517187,0.864319,1.29992,0.798233
3.60161e-06,2.03141e-06,-0.418214,-0.169508,-0.0654055,0.742573,0.511865,0.867574,1.29727,0.802571
3.63538e-06,2.06303e-06,-0.414388,-0.177303,-0.0725592,0.742109,0.506523,0.870796,1.2946,0.8069
3.66917e-06,2.09492e-06,-0.410395,-0.185027,-0.0797061,0.741576,0.501162,0.873984,1.29192,0.81122
3.70297e-06,2.12706e-06,-0.406237,-0.192676,-0.0868457,0.740974,0.495782,0.87714,1.28922,0.81553
3.73679e-06,2.15946e-06,-0.401915,-0.200248,-0.0939772,0.740304,0.490384,0.880262,1.28651,0.819832
3.77061e-06,2.19212e-06,-0.39743,-0.207739,-0.1011,0.739565,0.484966,0.88335,1.28379,0.824125
3.80445e-06,2.22504e-06,-0.392784,-0.215145,-0.108214,0.738758,0.479531,0.886405,1.28105,0.828409
3.8383e-06,2.25821e-06,-0.387976,-0.222463,-0.115317,0.737883,0.474077,0.889426,1.2783,0.832683
3.87215e-06,2.29164e-06,-0.38301,-0.22969,-0.12241,0.73694,0.468605,0.892414,1.27553,0.836949
3.90601e-06,2.32532e-06,-0.377886,-0.236822,-0.129492,0.735929,0.463115,0.895367,1.27275,0.841205
3.93987e-06,2.35926e-06,-0.372606,-0.243856,-0.136561,0.73485,0.457608,0.898287,1.26995,0.845452
3.97373e-06,2.39345e-06,-0.36717,-0.250789,-0.143618,0.733703,0.452083,0.901172,1.26714,0.849689
4.00759e-06,2.4279e-06,-0.361582,-0.257618,-0.150662,0.732489,0.446541,0.904024,1.26432,0.853917
4.04144e-06,2.4626e-06,-0.355843,-0.264338,-0.157692,0.731207,0.440982,0.906841,1.26148,0.858136
4.07529e-06,2.49755e-06,-0.349953,-0.270948,-0.164708,0.729859,0.435406,0.909623,1.25863,0.862345
4.10913e-06,2.53275e-06,-0.343916,-0.277443,-0.171708,0.728443,0.429814,0.912371,1.25576,0.866545
4.14297e-06,2.5682e-06,-0.337733,-0.28382,-0.178693,0.726961,0.424206,0.915085,1.25289,0.870735
4.17679e-06,2.60391e-06,-0.331405,-0.290076,-0.185661,0.725411,0.418581,0.917763,1.24999,0.874915
4.2106e-06,2.63986e-06,-0.324936,-0.296207,-0.192612,0.723796,0.412941,0.920407,1.24709,0.879086
4.24439e-06,2.67606e-06,-0.318327,-0.302212,-0.199546,0.722114,0.407285,0.923016,1.24417,0.883247
4.27816e-06,2.71251e-06,-0.31158,-0.308085,-0.206461,0.720366,0.401614,0.92559,1.24123,0.887398
4.31192e-06,2.74921e-06,-0.304697,-0.313824,-0.213358,0.718553,0.395927,0.928129,1.23828,0.89154
4.34566e-06,2.78616e-06,-0.297682,-0.319427,-0.220235,0.716674,0.390225,0.930633,1.23532,0.895672
4.37937e-06,2.82334e-06,-0.290535,-0.324889,-0.227092,0.714729,0.384509,0.933102,1.23235,0.899793
4.41307e-06,2.86078e-06,-0.283261,-0.330207,-0.233928,0.712719,0.378778,0.935535,1.22936,0.903905
4.44673e-06,2.89846e-06,-0.27586,-0.335379,-0.240743,0.710645,0.373033,0.937933,1.22635,0.908007
4.48037e-06,2.93638e-06,-0.268337,-0.340402,-0.247536,0.708505,0.367273,0.940296,1.22334,0.912099
4.51398e-06,2.97454e-06,-0.260693,-0.345271,-0.254307,0.706302,0.3615,0.942623,1.22031,0.916181
4.54756e-06,3.01295e-06,-0.252932,-0.349985,-0.261054,0.704034,0.355713,0.944914,1.21727,0.920253
4.5811e-06,3.0516e-06,-0.245056,-0.354541,-0.267778,0.701702,0.349913,0.94717,1.21421,0.924314
