x_soleil,y_soleil,x_terre,y_terre
4.97873e-06,0.00019996,-0.859576,0.911233
5.08194e-06,0.000200297,-0.893979,0.876077
5.1798e-06,0.000200638,-0.926599,0.839174
5.27209e-06,0.000200985,-0.957364,0.800591
5.35861e-06,0.000201336,-0.986203,0.760397
5.43913e-06,0.000201692,-1.01304,0.718664
5.51345e-06,0.000202053,-1.03782,0.675465
5.58136e-06,0.000202418,-1.06045,0.630874
5.64265e-06,0.000202786,-1.08088,0.584972
5.6971e-06,0.000203158,-1.09903,0.537837
5.74453e-06,0.000203534,-1.11484,0.489556
5.7847e-06,0.000203913,-1.12823,0.440214
5.81743e-06,0.000204295,-1.13914,0.389905
5.84251e-06,0.000204679,-1.1475,0.338723
5.85974e-06,0.000205066,-1.15325,0.286768
5.86891e-06,0.000205455,-1.1563,0.234147
5.86983e-06,0.000205845,-1.15661,0.180969
5.86231e-06,0.000206237,-1.1541,0.127351
5.84614e-06,0.000206629,-1.14871,0.0734157
5.82116e-06,0.000207023,-1.14039,0.0192932
5.78718e-06,0.000207416,-1.12906,-0.0348794
5.74403e-06,0.000207809,-1.11468,-0.0889571
5.69155e-06,0.000208201,-1.09718,-0.142786
5.62959e-06,0.000208593,-1.07653,-0.196203
5.55803e-06,0.000208982,-1.05268,-0.249036
5.47674e-06,0.000209369,-1.02558,-0.301102
5.38564e-06,0.000209753,-0.995212,-0.352206
5.28465e-06,0.000210134,-0.96155,-0.402144
5.17374e-06,0.00021051,-0.924581,-0.450698
5.05292e-06,0.000210882,-0.884306,-0.49764
4.92222e-06,0.000211248,-0.840739,-0.542728
4.78173e-06,0.000211608,-0.79391,-0.58571
4.6316e-06,0.000211961,-0.743868,-0.62632
4.47205e-06,0.000212305,-0.690684,-0.664284
4.30336e-06,0.000212641,-0.634452,-0.699316
4.12589e-06,0.000212968,-0.575296,-0.731124
3.94011e-06,0.000213283,-0.513369,-0.75941
3.74658e-06,0.000213588,-0.448859,-0.783872
3.54597e-06,0.000213879,-0.381989,-0.804213
